OUTPUT,iso3c,group,source,unit,Comment,Org,Type,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ASA_FHA_QP..MAR,ASA,FHA,Aquaculture,QP,"ASA_FHA_QP..MAR = ASA_SHPA_QP..MAR+ASA_DEMA_QP+ASA_MKFA_QP..MAR+ASA_MLCA_QP+ASA_
OFWDA_QP..MAR+ASA_OTHA_QP..MAR",Scalar TS,Numeric,231.772,242.386,263.34,264.44,266.9211,257.2,210.717,242.308,243.273,247.1761098,252.0115013,256.2914075,260.067543,264.1165692,268.08165,271.3747051,273.8557415,274.5058369,274.8348042,274.563605,274.3893271
ASA_FHC_QP..MAR,ASA,FHC,Capture,QP,"ASA_FHC_QP..MAR = OVERLAY(ASA_FHC_QP..MAR..HIS,ASA_FHC_
QP*(1.062894-0.002307*TRND)*FHCQPADJ)",Scalar TS,Numeric,1698.385,1783.931,1803.619,1859.828,2036.643,1915.92,1688.606,1659.371,1728.981,1777.908007,1784.796503,1758.470157,1750.123154,1759.248668,1750.804835,1742.381302,1733.978072,1725.595142,1713.79805,1702.146706,1690.456419
ASA_MKFA_QP..MAR,ASA,MKFA,Aquaculture,QP,"ASA_MKFA_QP..MAR = OVERLAY(ASA_MKFA_QP..MAR..HIS,ASA_MKFA_QP*(TRND*0+0.636))",Scalar TS,Numeric,21.694,25.928,43.962,42.794,45.849,38.822,28.056,35.164,35.4,36.1248,38.80086522,40.23292691,41.00469476,41.36165346,41.75678213,41.73426469,41.36675438,40.5184759,39.93672712,39.59875725,39.30924829
ASA_MLCA_QP,ASA,MLCA,Aquaculture,QP,,Scalar TS,Numeric,168.61898,170.41482,166.28563,160.44512,160.37477,155.58579,127.63149,143.3832,139.68269,142.1,140.0475095,138.4153116,137.73626,137.918117,138.7348887,139.8068459,141.3649537,142.8405062,144.1687174,144.8567487,145.6542466
ASA_OFWDA_QP..MAR,ASA,OFWDA,Aquaculture,QP,"ASA_OFWDA_QP..MAR = OVERLAY(ASA_OFWDA_QP..MAR..HIS,ASA_OFWDA_QP*(TRND*0+0.17))",Scalar TS,Numeric,9.634,11.91,9.563,7.411,4.703,4.412,3.384,4.442,5.266,5.78,5.551200491,5.45087305,5.348756425,5.325013327,5.312732744,5.325436233,5.327111581,5.277986511,5.233665964,5.200180397,5.183289451
ASA_OTHA_QP..MAR,ASA,OTHA,Aquaculture,QP,"ASA_OTHA_QP..MAR = OVERLAY(ASA_OTHA_QP..MAR..HIS,ASA_OTHA_QP*0.38)",Scalar TS,Numeric,4.82297,2.98072,-0.86956,-0.27572,-7.38763,-1.76742,2.40302,3.03759,4.45394,4.956149848,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94,4.94
ASA_SHPA_QP..MAR,ASA,SHPA,Aquaculture,QP,ASA_SHPA_QP..MAR = TRND*0+1,Scalar TS,Numeric,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASC_FHA_QP..MAR,ASC,FHA,Aquaculture,QP,"ASC_SALA_QP..MAR = OVERLAY(ASC_SALA_QP..MAR..HIS,ASC_SALA_QP*(TRND*0+0.007))",Scalar TS,Numeric,0,0,0,0,0,0.06,0.08,0.1,0.121989,0.12887,0.154209971,0.161070158,0.168350115,0.175140221,0.182140228,0.189420216,0.19593021,0.202930136,0.209930047,0.216300047,0.222810121
ASC_FHC_QP..MAR,ASC,FHC,Capture,QP,"ASC_FHC_QP..MAR = OVERLAY(ASC_FHC_QP..MAR..HIS,ASC_FHC_QP*(TRND*0+0.8*FHCQPADJ))",Scalar TS,Numeric,46.037,26.52,12.049,15.5,19,22.5,44.688,137.403,213.057,210.3905554,212.8,214.4,216,217.6,219.2,220.8,222.4,224,225.1488,226.2912,227.4272
ASC_SALA_QP..MAR,ASC,SALA,Aquaculture,QP,"ASC_SALA_QP..MAR = OVERLAY(ASC_SALA_QP..MAR..HIS,ASC_SALA_QP*(TRND*0+0.007))",Scalar TS,Numeric,0,0,0,0,0,0.06,0.08,0.1,0.121989,0.12887,0.154209971,0.161070158,0.168350115,0.175140221,0.182140228,0.189420216,0.19593021,0.202930136,0.209930047,0.216300047,0.222810121
ASL_FHA_QP..MAR,ASL,FHA,Aquaculture,QP,ASL_FHA_QP..MAR = ASL_OTHA_QP..MAR+ASL_SHPA_QP..MAR+ASL_OMAA_QP,Scalar TS,Numeric,202.822,202.167,210.468,222.586,236.848,237.05048,273.61237,281.51148,249.55516,279.495461,293.5857023,285.389591,286.0619851,292.552838,299.5847696,307.9869464,315.5431942,322.5390639,325.3187084,331.6940179,337.4597869
ASL_FHC_QP..MAR,ASL,FHC,Capture,QP,"ASL_FHC_QP..MAR = OVERLAY(ASL_FHC_QP..MAR..HIS,ASL_FHC_
QP*(TRND*0+0.43*FHCQPADJ))",Scalar TS,Numeric,1871.385,1843.161,1831.015,1784.566,1836.854,1830.353,1935.937,2046.295,1955.486,2014.106083,1991.76,2013.26,2034.76,2056.26,2077.76,2099.26,2120.76,2142.26,2159.43248,2176.51896,2193.51944
ASL_OMAA_QP,ASL,OMAA,Aquaculture,QP,,Scalar TS,Numeric,73.885,60.37,63.31,71.82,93.807,96.732,113.395,116.27,131.977,144.4,152.0663197,143.7837125,143.3285387,147.040884,152.0860769,158.3388139,164.6134648,171.8801388,175.9933923,182.881206,189.3334939
ASL_OTHA_QP..MAR,ASL,OTHA,Aquaculture,QP,"ASL_OTHA_QP..MAR = OVERLAY(ASL_OTHA_QP..MAR..HIS,ASL_OTHA_QP)",Scalar TS,Numeric,31.334,5.708,6.804,8.54,22.227,6.28248,25.54237,27.20848,26.35616,19.595461,20,20,20,20,20,20,20,20,20,20,20
ASL_SHPA_QP..MAR,ASL,SHPA,Aquaculture,QP,"ASL_SHPA_QP..MAR = OVERLAY(ASL_SHPA_QP..MAR..HIS,ASL_SHPA_QP*(TRND*0+0.7))",Scalar TS,Numeric,97.603,136.089,140.354,142.226,120.814,134.036,134.675,138.033,91.222,115.5,121.5193826,121.6058785,122.7334465,125.511954,127.4986927,129.6481325,130.9297295,130.6589251,129.3253161,128.8128119,128.126293
AUS_FHA_QP..MAR,AUS,FHA,Aquaculture,QP,AUS_FHA_QP..MAR = AUS_OTHA_QP..MAR+AUS_SALA_QP..MAR+AUS_MLCA_QP+AUS_SHPA_QP,Scalar TS,Numeric,72.498,71.943,77.937,75.287,72.542,82.399,90.926,88.329,95.219,100.5374976,103.2168355,108.2438342,114.1789533,121.1391049,128.1021882,132.0512572,136.9987939,140.9164858,142.7884379,144.6073327,145.4317825
AUS_FHC_QP..MAR,AUS,FHC,Capture,QP,"AUS_FHC_QP..MAR = OVERLAY(AUS_FHC_QP..MAR..HIS,AUS_FHC_
QP*(TRND*0+0.994*FHCQPADJ))",Scalar TS,Numeric,184.593,182.31,169.705,166.819,164.171,165.164,185.002,177.468,183.438,186.9199289,188.86,190.848,192.836,194.824,196.812,198.8,200.788,202.776,204.354472,205.924992,207.48756
AUS_MLCA_QP,AUS,MLCA,Aquaculture,QP,,Scalar TS,Numeric,18.85143,17.53353,16.83571,16.7853,15.61463,15.49805,15.72779,16.61671,13.63152,15.3,15.31685719,15.34391253,15.27892996,15.23904359,15.20209062,15.15123227,15.09875989,15.01649665,14.88843024,14.70731984,14.53175548
AUS_OTHA_QP..MAR,AUS,OTHA,Aquaculture,QP,"AUS_OTHA_QP..MAR = OVERLAY(AUS_OTHA_QP..MAR..HIS,AUS_OTHA_QP*0.92)",Scalar TS,Numeric,16.55957,13.77747,13.09816,11.935,11.56237,13.28757,14.45499,14.5078,16.15508,17.49749757,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4,18.4
AUS_SALA_QP..MAR,AUS,SALA,Aquaculture,QP,"AUS_SALA_QP..MAR = OVERLAY(AUS_SALA_QP..MAR..HIS,AUS_SALA_QP*(TRND*0+1))",Scalar TS,Numeric,31.807,36.662,43.982,42.825,41.591,48.331,56.115,52.58,61.227,63.24,64.9999783,69.99992172,76.00002338,83.00006126,90.0000976,94.00002494,99.000034,102.9999892,105.0000076,107.0000129,108.000027
AUS_SHPA_QP,AUS,SHPA,Aquaculture,QP,,Scalar TS,Numeric,5.28,3.97,4.02113,3.7417,3.774,5.28238,4.62822,4.62449,4.2054,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
BRA_FHA_QP..MAR,BRA,FHA,Aquaculture,QP,BRA_FHA_QP..MAR = BRA_OTHA_QP..MAR+BRA_SHPA_QP..MAR+BRA_MLCA_QP,Scalar TS,Numeric,85.058,87.525,98.502,84.029,87.1,91,80.41,80.93,76.53,73.45958824,81.62764298,84.35972847,89.22855291,92.68484334,96.86230233,99.9431393,102.915107,105.8237268,107.6354409,110.4762173,113.3430818
BRA_FHC_QP..MAR,BRA,FHC,Capture,QP,"BRA_FHC_QP..MAR = OVERLAY(BRA_FHC_QP..MAR..HIS,BRA_FHC_
QP*(TRND*0+0.69*FHCQPADJ))",Scalar TS,Numeric,537.247,525.981,582.04,531.462,537.765,485.373,493.879,493.27,489.382,476.1,478.8116231,480.2437027,481.5832143,482.5225216,483.1833124,483.2496531,482.9022488,481.8905671,479.750725,477.4471969,474.8991985
BRA_MLCA_QP,BRA,MLCA,Aquaculture,QP,,Scalar TS,Numeric,15.636,18.259,23.502,19.36,22.1,21.1,20.91,20.91,14.51,12.24,14.60776594,16.3398429,17.20868344,17.6649897,17.84246826,17.92330948,17.89535303,17.80396862,17.6156529,17.45644219,17.3233004
BRA_OTHA_QP..MAR,BRA,OTHA,Aquaculture,QP,"BRA_OTHA_QP..MAR = OVERLAY(BRA_OTHA_QP..MAR..HIS,BRA_OTHA_QP*0.09)",Scalar TS,Numeric,1.42E-14,0,0,0,0,0,0,0.02,0.02,0.019588239,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198,0.0198
BRA_SHPA_QP..MAR,BRA,SHPA,Aquaculture,QP,"BRA_SHPA_QP..MAR = OVERLAY(BRA_SHPA_QP..MAR..HIS,BRA_SHPA_QP*(TRND*0+1))",Scalar TS,Numeric,69.422,69.266,75,64.669,65,69.9,59.5,60,62,61.2,67.00007704,68.00008557,72.00006947,75.00005364,79.00003407,82.00002982,84.99995399,87.99995821,89.99998805,92.99997507,95.99998142
CAN_FHA_QP..MAR,CAN,FHA,Aquaculture,QP,CAN_FHA_QP..MAR = CAN_SALA_QP..MAR+CAN_OTHA_QP..MAR+CAN_MLCA_QP,Scalar TS,Numeric,153.942,162.424,177.483,159.924,131.05,178.217,189.821,180.986,180.57,180.824,188.6318971,193.5764794,199.3457382,205.2262988,211.977947,217.6731845,223.3144899,227.8824018,232.3031958,235.5231202,238.6126962
CAN_FHC_QP..MAR,CAN,FHC,Capture,QP,"CAN_FHC_QP..MAR = OVERLAY(CAN_FHC_QP..MAR..HIS,CAN_FHC_
QP*(TRND*0+0.965*FHCQPADJ))",Scalar TS,Numeric,906.065,895.748,787.305,844.825,838.442,823.833,836.35,805.677,784.603,805.775,810.6,812.0475,812.0475,820.25,820.25,820.25,820.25,820.25,818.6095,816.969,815.3285
CAN_MLCA_QP,CAN,MLCA,Aquaculture,QP,,Scalar TS,Numeric,39.499,37.56,44.208,39.933,38.473,36.343,40.511,40.074,43.321,42.55,43.87189734,45.0564967,46.12571685,47.30626479,48.41793749,49.41317833,50.35452264,51.16242358,51.82320687,52.22312381,52.49269069
CAN_OTHA_QP..MAR,CAN,OTHA,Aquaculture,QP,"CAN_OTHA_QP..MAR = OVERLAY(CAN_OTHA_QP..MAR..HIS,CAN_OTHA_QP*0)",Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN_SALA_QP..MAR,CAN,SALA,Aquaculture,QP,"CAN_SALA_QP..MAR = OVERLAY(CAN_SALA_QP..MAR..HIS,CAN_SALA_QP*(TRND*0+0.94))",Scalar TS,Numeric,114.443,124.864,133.275,119.991,92.577,141.874,149.31,140.912,137.249,138.274,144.7599998,148.5199827,153.2200213,157.920034,163.5600095,168.2600062,172.9599673,176.7199782,180.479989,183.2999964,186.1200055
CHE_FHA_QP..MAR,CHE,FHA,Aquaculture,QP,CHE_FHA_QP..MAR = 0*TRND,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE_FHC_QP..MAR,CHE,FHC,Capture,QP,CHE_FHC_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL_FHA_QP..MAR,CHL,FHA,Aquaculture,QP,CHL_FHA_QP..MAR = CHL_OTHA_QP..MAR+CHL_SALA_QP..MAR+CHL_MLCA_QP,Scalar TS,Numeric,664.841,913.642,1011.894,988.838,1146.12,1045.142,1034.356,1199.839,1265.18,1312.546268,1330.918859,1359.559427,1386.149132,1419.535819,1442.152667,1461.711298,1486.861367,1517.176409,1544.350462,1580.572666,1626.144433
CHL_FHC_QP..MAR,CHL,FHC,Capture,QP,"CHL_FHC_QP..MAR = OVERLAY(CHL_FHC_QP..MAR..HIS,CHL_FHC_QP*(TRND*0+1*FHCQPADJ))",Scalar TS,Numeric,2679.736,3063.463,2572.88,1770.956,2175.459,1786.249,1497.23,1918.958,2122.431,2090,2105.399161,1859.999529,1999.999875,1999.999875,2049.999427,2100.000954,1871.500262,2150.000507,2198.593284,2255.939677,2282.224854
CHL_MLCA_QP,CHL,MLCA,Aquaculture,QP,,Scalar TS,Numeric,233.906,305.124,253.307,252.528,246.421,215.508,307.442,347.59815,377.93865,396,402.418861,409.060095,417.6492847,427.0359216,436.6525882,447.2110951,457.3610473,466.6761258,473.8501058,480.0723934,485.64438
CHL_OTHA_QP..MAR,CHL,OTHA,Aquaculture,QP,"CHL_OTHA_QP..MAR = OVERLAY(CHL_OTHA_QP..MAR..HIS,CHL_OTHA_QP)",Scalar TS,Numeric,0.299,0.252,0.442,0.107,0.264,0.003,0,-0.00015,0.01035,0.546268,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CHL_SALA_QP..MAR,CHL,SALA,Aquaculture,QP,"CHL_SALA_QP..MAR = OVERLAY(CHL_SALA_QP..MAR..HIS,CHL_SALA_QP*(TRND*0+1))",Scalar TS,Numeric,430.636,608.266,758.145,736.203,899.435,829.631,726.914,852.241,887.231,916,927.9999985,949.9993322,967.9998474,991.9998975,1005.000079,1014.000202,1029.000319,1050.000283,1070.000356,1100.000273,1140.000053
CHN_CBA_QP..MAR,CHN,CBA,Aquaculture,QP,"CHN_CBA_QP..MAR = OVERLAY(CHN_CBA_QP..MAR..HIS,CHN_CBA_QP*(TRND*0+0.27))",Scalar TS,Numeric,221.351,220.916,233.648,247.843,259.564,262.044,282.653,286.031,293.797,285.66,283.3381825,284.9743261,289.7317689,301.6440865,315.1468164,325.6201373,336.7846229,345.3516495,356.8023753,368.9712916,379.8901675
CHN_DEMA_QP,CHN,DEMA,Aquaculture,QP,,Scalar TS,Numeric,435.41,495.21,529.49,554.38,590.443,652.704,703.691,766.015,838.414,865.5,840.3441054,823.7964732,805.5645852,811.8316799,836.5426347,863.862928,897.2812869,925.9776009,946.5040405,958.7406325,971.1197395
CHN_FHA_QP..MAR,CHN,FHA,Aquaculture,QP,"CHN_FHA_QP..MAR = CHN_SALA_QP..MAR+CHN_OPEA_QP+CHN_OMAA_QP+CHN_MLCA_QP+CHN_SHPA_
QP..MAR+CHN_CBA_QP..MAR+CHN_DEMA_QP+CHN_OTHA_QP..MAR",Scalar TS,Numeric,12889.386,13260.307,14060.963,14869.324,15608.164,15964.514,17046.016,17779.132,17968.332,18264.81124,18280.03942,18278.58871,18229.953,18733.95401,19211.75053,19677.62674,20162.68525,20627.97959,21104.57664,21570.2989,22059.01389
CHN_FHC_QP..MAR,CHN,FHC,Capture,QP,"CHN_FHC_QP..MAR = OVERLAY(CHN_FHC_QP..MAR..HIS,CHN_FHC_
QP*(TRND*0+0.867*FHCQPADJ))",Scalar TS,Numeric,12682.769,12939.801,13148.457,13308.845,14092.903,14392.764,13784.598,13190.594,12684.011,12340.12356,11921.25,11500.5816,11460.6996,11535.6084,11509.425,11492.085,11483.415,11492.085,11477.75349,11463.3873,11448.98643
CHN_MLCA_QP,CHN,MLCA,Aquaculture,QP,,Scalar TS,Numeric,10997.136,11241.625,11815.686,12414.646,13077.356,13249.183,14131.801,14586.132,14635.099,14905,14903.45987,14900.90222,14819.50806,15199.80049,15508.35143,15822.00172,16139.802,16462.8021,16790.03164,17122.5624,17460.45284
CHN_OMAA_QP,CHN,OMAA,Aquaculture,QP,,Scalar TS,Numeric,220.061,267.473,298.475,341.074,388.518,439.606,435.131,470.067,479.743,481,489.1439114,490.7385605,485.4628619,489.6302613,502.236612,514.9078392,530.2875146,542.2612636,549.0726525,561.8948541,580.4837763
CHN_OPEA_QP,CHN,OPEA,Aquaculture,QP,,Scalar TS,Numeric,131.573,160.169,160.974,184.35,162.408,164.933,175.139,189.59,189.641,192,194.7782845,195.4837814,192.661152,197.4540967,203.3577901,210.9479609,217.5423676,222.2136254,225.1045538,228.0029532,231.3141805
CHN_OTHA_QP..MAR,CHN,OTHA,Aquaculture,QP,"CHN_OTHA_QP..MAR = OVERLAY(CHN_OTHA_QP..MAR..HIS,CHN_OTHA_QP*0.15)",Scalar TS,Numeric,75.45,21.406,58.938,92.137,19.151,83.66,96.086,136.143,122.524,126.1860435,126.888795,127.56219,127.527645,131.51061,134.89443,138.348,141.869145,145.4571,149.115675,152.84724,156.644775
CHN_SALA_QP..MAR,CHN,SALA,Aquaculture,QP,"CHN_SALA_QP..MAR = OVERLAY(CHN_SALA_QP..MAR..HIS,CHN_SALA_QP*TRND*0)",Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHN_SHPA_QP..MAR,CHN,SHPA,Aquaculture,QP,"CHN_SHPA_QP..MAR = OVERLAY(CHN_SHPA_QP..MAR..HIS,CHN_SHPA_
QP*(TRND*0.013886-0.108))",Scalar TS,Numeric,808.405,853.508,963.752,1034.894,1110.724,1112.384,1221.515,1345.154,1409.114,1409.4652,1442.086272,1455.131161,1509.496925,1602.082791,1711.220816,1801.938159,1899.118312,1983.916251,2087.945698,2177.279527,2279.108411
COL_FHA_QP..MAR,COL,FHA,Aquaculture,QP,COL_FHA_QP..MAR = COL_OTHA_QP..MAR+COL_SHPA_QP..MAR+COL_SALA_QP..MAR,Scalar TS,Numeric,12.689,9.522,9.045,4.695,3.012,2.484,2.7,3.7,5.097,5.472,4.642486232,4.351384167,4.206623834,4.041553487,3.94828411,3.802484703,3.605007299,3.33290966,3.089614306,2.876203788,2.666475138
COL_FHC_QP..MAR,COL,FHC,Capture,QP,"COL_FHC_QP..MAR = OVERLAY(COL_FHC_QP..MAR..HIS,COL_FHC_
QP*(TRND*0+0.69*FHCQPADJ))",Scalar TS,Numeric,60.117,62.568,50.573,52.734,74.298,63.415,50.506,60.995,47.625,41.76562397,58.65,41.4,55.2,58.65,58.65,58.65,41.4,55.2,58.5327,58.4154,58.2981
COL_OTHA_QP..MAR,COL,OTHA,Aquaculture,QP,"COL_OTHA_QP..MAR = OVERLAY(COL_OTHA_QP..MAR..HIS,COL_OTHA_QP*0)",Scalar TS,Numeric,0.113,0.112,0.145,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL_SALA_QP..MAR,COL,SALA,Aquaculture,QP,COL_SALA_QP..MAR = TRND*0,Scalar TS,Numeric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL_SHPA_QP..MAR,COL,SHPA,Aquaculture,QP,"COL_SHPA_QP..MAR = OVERLAY(COL_SHPA_QP..MAR..HIS,COL_SHPA_QP*(TRND*0+0.95))",Scalar TS,Numeric,12.576,9.41,8.9,4.545,2.862,2.484,2.7,3.7,5.097,5.472,4.642486232,4.351384167,4.206623834,4.041553487,3.94828411,3.802484703,3.605007299,3.33290966,3.089614306,2.876203788,2.666475138
EGY_DEMA_QP,EGY,DEMA,Aquaculture,QP,,Scalar TS,Numeric,43.639,43.968,36.923,31.754,38.018,39.752,67.323,90.954,92.7,98.37,90.99995871,91.00004399,88.99990886,87.99998234,87.99984775,87.99993457,88.99990367,88.99990085,88.99987207,89.99993622,91.99998903
EGY_FHA_QP..MAR,EGY,FHA,Aquaculture,QP,EGY_FHA_QP..MAR = EGY_OTHA_QP..MAR+EGY_SHPA_QP+EGY_DEMA_QP+EGY_MULA_QP..MAR,Scalar TS,Numeric,133.46,128.735,137.683,127.761,137.898,154.764,182.424,273.383,303.9,297.0647,281.0138381,280.9642835,276.3250525,274.4292679,274.4104931,273.5242735,273.6369032,272.7484077,273.6018981,274.5878201,276.5753051
EGY_FHC_QP..MAR,EGY,FHC,Capture,QP,"EGY_FHC_QP..MAR = OVERLAY(EGY_FHC_QP..MAR..HIS,EGY_FHC_
QP*(0.498796-0.004274*TRND)*FHCQPADJ)",Scalar TS,Numeric,121.362,122.303,114.134,106.661,107.799,102.933,103.654,109.764,104.695,106.8224351,105.30825,104.258596,103.191846,102.108,101.007058,99.88902,98.753886,97.601656,96.23946534,94.86492437,93.47813566
