"iso3c","year","genus_cat","scientific_name","common_name","Genus","Family","Order","production_sector","Production_area","tonnes","spp_prop"
"ABW","2014","Demersal Fish","bothidae","lefteye flounders nei",NA,"bothidae","pleuronectiformes","import","Marine areas",0.321010379568488,9.60472508410974e-05
"ABW","2014","Demersal Fish","caranx","jacks, crevalles nei","caranx","carangidae","perciformes","import","Marine areas",0.055933626742994,1.6735505828373e-05
"ABW","2014","Demersal Fish","carcharhinus acronotus","blacknose shark","carcharhinus","carcharhinidae","carcharhiniformes","import","Marine areas",0.0109435356671075,3.27433809685559e-06
"ABW","2014","Demersal Fish","carcharhinus leucas","bull shark","carcharhinus","carcharhinidae","carcharhiniformes","import","Marine areas",0.0166179615685707,4.97214303596591e-06
"ABW","2014","Demersal Fish","carcharhinus limbatus","blacktip shark","carcharhinus","carcharhinidae","carcharhiniformes","import","Marine areas",0.156452028426056,4.68109076068986e-05
"ABW","2014","Demersal Fish","caulolatilus microps","grey tilefish","caulolatilus","malacanthidae","perciformes","import","Marine areas",0.0855217046577666,2.55883458680198e-05
"ABW","2014","Demersal Fish","centropristis philadelphica","rock sea bass","centropristis","serranidae","perciformes","import","Marine areas",0.0105382195312887,3.15306631549057e-06
"ABW","2014","Demersal Fish","centropristis striata","black seabass","centropristis","serranidae","perciformes","import","Marine areas",0.479083672537819,0.000143343245573456
"ABW","2014","Demersal Fish","chelidonichthys cuculus","red gurnard","chelidonichthys","triglidae","scorpaeniformes","import","Marine areas",0.0372121014621807,1.11339703353732e-05
"ABW","2014","Demersal Fish","chelidonichthys lucerna","tub gurnard","chelidonichthys","triglidae","scorpaeniformes","import","Marine areas",0.207437671980667,6.20659622950593e-05
"ABW","2014","Demersal Fish","citharichthys sordidus","pacific sanddab","citharichthys","paralichthyidae","pleuronectiformes","import","Marine areas",0.0348571876804166,1.04293731973919e-05
"ABW","2014","Demersal Fish","conger oceanicus","american conger","conger","congridae","anguilliformes","import","Marine areas",0.0141860647536579,4.24451234777577e-06
"ABW","2014","Demersal Fish","cottidae","sculpins nei",NA,"cottidae","scorpaeniformes","import","Marine areas",0.151993550932049,4.54769180118833e-05
"ABW","2014","Demersal Fish","cynoscion arenarius","sand weakfish","cynoscion","sciaenidae","perciformes","import","Marine areas",0.0117541679387451,3.51688165958564e-06
"ABW","2014","Demersal Fish","cynoscion nebulosus","spotted weakfish","cynoscion","sciaenidae","perciformes","import","Marine areas",0.0964652403248739,2.88626839648753e-05
"ABW","2014","Demersal Fish","cynoscion regalis","squeteague(=gray weakfish)","cynoscion","sciaenidae","perciformes","import","Marine areas",0.055933626742994,1.6735505828373e-05
"ABW","2014","Demersal Fish","dicentrarchus labrax","european seabass","dicentrarchus","moronidae","perciformes","import","Marine areas",0.0428674360309012,1.2826063091509e-05
"ABW","2014","Demersal Fish","elasmobranchii","sharks, rays, skates, etc. nei",NA,NA,NA,"import","Marine areas",0.436930794412665,0.000130730980311494
"ABW","2014","Demersal Fish","elops saurus","ladyfish","elops","elopidae","elopiformes","import","Marine areas",0.210764390625775,6.30613263098116e-05
"ABW","2014","Demersal Fish","eopsetta jordani","petrale sole","eopsetta","pleuronectidae","pleuronectiformes","import","Marine areas",0.44179458804249,0.000132186241687874
"ABW","2014","Demersal Fish","ephippidae","spadefishes nei",NA,"ephippidae","perciformes","import","Marine areas",0.00810632271637596,2.42543562730044e-06
"ABW","2014","Demersal Fish","epinephelus","groupers nei","epinephelus","serranidae","perciformes","import","Marine areas",0.0235083358774903,7.03376331917128e-06
"ABW","2014","Demersal Fish","epinephelus drummondhayi","speckled hind","epinephelus","serranidae","perciformes","import","Marine areas",0.00932227112383238,2.78925097139552e-06
"ABW","2014","Demersal Fish","epinephelus guttatus","red hind","epinephelus","serranidae","perciformes","import","Marine areas",0.0162126454327519,4.85087125460089e-06
"ABW","2014","Demersal Fish","epinephelus morio","red grouper","epinephelus","serranidae","perciformes","import","Marine areas",1.74463496849681,0.000521999919973345
"ABW","2014","Demersal Fish","Epinephelus spp","Groupers nei","Epinephelus","SERRANIDAE","PERCOIDEI","Capture production","Marine areas",14.1428571428571,0.00423158450339141
"ABW","2014","Demersal Fish","etelis oculatus","queen snapper","etelis","lutjanidae","perciformes","import","Marine areas",0.0206711229267587,6.18486084961613e-06
"ABW","2014","Demersal Fish","eutrigla gurnardus","grey gurnard","eutrigla","triglidae","scorpaeniformes","import","Marine areas",0.0542912118597165,1.62440904589032e-05
"ABW","2014","Demersal Fish","gadus morhua","atlantic cod","gadus","gadidae","gadiformes","import","Marine areas",14.5046207291181,0.00433982523368023
"ABW","2014","Demersal Fish","galeocerdo cuvier","tiger shark","galeocerdo","carcharhinidae","carcharhiniformes","import","Marine areas",0.0142614005809989,4.26705304915641e-06
"ABW","2014","Demersal Fish","glyptocephalus cynoglossus","witch flounder","glyptocephalus","pleuronectidae","pleuronectiformes","import","Marine areas",0.422461859980207,0.000126401832522859
"ABW","2014","Demersal Fish","haemulidae","grunts, sweetlips nei",NA,"haemulidae","perciformes","import","Marine areas",0.185287204856128,5.54384773052658e-05
"ABW","2014","Demersal Fish","hexagrammos decagrammus","kelp greenling","hexagrammos","hexagrammidae","scorpaeniformes","import","Marine areas",0.0097275872596511,2.91052275276052e-06
"ABW","2014","Demersal Fish","hippoglossoides elassodon","flathead sole","hippoglossoides","pleuronectidae","pleuronectiformes","import","Marine areas",4.71220539502934,0.00140990573014975
"ABW","2014","Demersal Fish","hippoglossoides platessoides","amer. plaice(=long rough dab)","hippoglossoides","pleuronectidae","pleuronectiformes","import","Marine areas",1.13855406695225,0.000340658729514332
"ABW","2014","Demersal Fish","hippoglossus hippoglossus","atlantic halibut","hippoglossus","pleuronectidae","pleuronectiformes","import","Marine areas",0.909570080169507,0.000272146046383398
"ABW","2014","Demersal Fish","hippoglossus stenolepis","pacific halibut","hippoglossus","pleuronectidae","pleuronectiformes","import","Marine areas",6.23457280116475,0.00186540254095677
"ABW","2014","Demersal Fish","holocentridae","squirrelfishes nei",NA,"holocentridae","beryciformes","import","Marine areas",0.0121594840745639,3.63815344095067e-06
"ABW","2014","Demersal Fish","hyporthodus flavolimbatus","yellowedge grouper","hyporthodus","serranidae","perciformes","import","Marine areas",0.145913808894767,4.36578412914079e-05
"ABW","2014","Demersal Fish","hyporthodus nigritus","warsaw grouper","hyporthodus","serranidae","perciformes","import","Marine areas",0.0190498583834835,5.69977372415604e-06
"ABW","2014","Demersal Fish","hyporthodus niveatus","snowy grouper","hyporthodus","serranidae","perciformes","import","Marine areas",0.0563389428788129,1.68567776097381e-05
"ABW","2014","Demersal Fish","isurus oxyrinchus","shortfin mako","isurus","lamnidae","lamniformes","import","Marine areas",0.0709303237682896,2.12225617388789e-05
"ABW","2014","Demersal Fish","lachnolaimus maximus","hogfish","lachnolaimus","labridae","perciformes","import","Marine areas",0.0145913808894767,4.36578412914079e-06
"ABW","2014","Demersal Fish","lagodon rhomboides","pinfish","lagodon","sparidae","perciformes","import","Marine areas",0.00810632271637596,2.42543562730044e-06
"ABW","2014","Demersal Fish","leiostomus xanthurus","spot croaker","leiostomus","sciaenidae","perciformes","import","Marine areas",0.253727901022567,7.59161351345038e-05
"ABW","2014","Demersal Fish","lepidocybium flavobrunneum","escolar","lepidocybium","gempylidae","perciformes","import","Marine areas",0.0458007233475241,1.37037112942475e-05
"ABW","2014","Demersal Fish","lepidopsetta bilineata","rock sole","lepidopsetta","pleuronectidae","pleuronectiformes","import","Marine areas",29.9248956236376,0.00895361688996094
"ABW","2014","Demersal Fish","leucoraja erinacea","little skate","leucoraja","rajidae","rajiformes","import","Marine areas",2.02131156932835,0.000604782373667366
"ABW","2014","Demersal Fish","limanda aspera","yellowfin sole","limanda","pleuronectidae","pleuronectiformes","import","Marine areas",57.6079877000615,0.0172364795571919
"ABW","2014","Demersal Fish","limanda ferruginea","yellowtail flounder","limanda","pleuronectidae","pleuronectiformes","import","Marine areas",2.44786005985182,0.000732406938082607
"ABW","2014","Demersal Fish","limanda limanda","common dab","limanda","pleuronectidae","pleuronectiformes","import","Marine areas",0.481495185180861,0.000144064777257397
"ABW","2014","Demersal Fish","lophius americanus","american angler","lophius","lophiidae","lophiiformes","import","Marine areas",3.95507485331983,0.00118337004255989
"ABW","2014","Demersal Fish","lopholatilus chamaeleonticeps","great northern tilefish","lopholatilus","malacanthidae","perciformes","import","Marine areas",0.51231959567496,0.000153287531645388
"ABW","2014","Demersal Fish","lutjanidae","snappers, jobfishes nei",NA,"lutjanidae","perciformes","import","Marine areas",0.0603921042370008,1.80694954233883e-05
"ABW","2014","Demersal Fish","Lutjanidae","Snappers, jobfishes nei","Lutjanidae","LUTJANIDAE","PERCOIDEI","Capture production","Marine areas",29.8571428571429,0.0089333450627152
"ABW","2014","Demersal Fish","lutjanus analis","mutton snapper","lutjanus","lutjanidae","perciformes","import","Marine areas",0.0344518715445978,1.03081014160269e-05
"ABW","2014","Demersal Fish","lutjanus campechanus","northern red snapper","lutjanus","lutjanidae","perciformes","import","Marine areas",0.744160425363313,0.000222654990586181
"ABW","2014","Demersal Fish","lutjanus griseus","grey snapper","lutjanus","lutjanidae","perciformes","import","Marine areas",0.0547176783355377,1.6371690484278e-05
"ABW","2014","Demersal Fish","lutjanus synagris","lane snapper","lutjanus","lutjanidae","perciformes","import","Marine areas",0.0186445422476647,5.57850194279101e-06
"ABW","2014","Demersal Fish","lutjanus vivanus","silk snapper","lutjanus","lutjanidae","perciformes","import","Marine areas",0.0287774456431347,8.61029647691658e-06
"ABW","2014","Demersal Fish","melanogrammus aeglefinus","haddock","melanogrammus","gadidae","gadiformes","import","Marine areas",0.443545888979321,0.000132710236085202
"ABW","2014","Demersal Fish","menticirrhus littoralis","gulf kingcroaker","menticirrhus","sciaenidae","perciformes","import","Marine areas",0.205900596995949,6.16060649334312e-05
"ABW","2014","Demersal Fish","merluccius bilinearis","silver hake","merluccius","merlucciidae","gadiformes","import","Marine areas",7.51405052751148,0.00224822604433761
"ABW","2014","Demersal Fish","merluccius productus","north pacific hake","merluccius","merlucciidae","gadiformes","import","Marine areas",110.750416083535,0.0331368506171986
"ABW","2014","Demersal Fish","micropogonias undulatus","atlantic croaker","micropogonias","sciaenidae","perciformes","import","Marine areas",2.1453383068889,0.000641891538765062
"ABW","2014","Demersal Fish","microstomus kitt","lemon sole","microstomus","pleuronectidae","pleuronectiformes","import","Marine areas",0.0693344018125129,2.07450571902243e-05
"ABW","2014","Demersal Fish","microstomus pacificus","dover sole","microstomus","pleuronectidae","pleuronectiformes","import","Marine areas",2.85950533820161,0.00085557241753023
"ABW","2014","Demersal Fish","mugil curema","white mullet","mugil","mugilidae","mugiliformes","import","Marine areas",0.0348571876804166,1.04293731973919e-05
"ABW","2014","Demersal Fish","mullidae","goatfishes, red mullets nei",NA,"mullidae","perciformes","import","Marine areas",0.00932227112383238,2.78925097139552e-06
"ABW","2014","Demersal Fish","mullus surmuletus","surmullet","mullus","mullidae","perciformes","import","Marine areas",0.0556484921562094,1.66501927203758e-05
"ABW","2014","Demersal Fish","mustelus canis","dusky smooth-hound","mustelus","triakidae","carcharhiniformes","import","Marine areas",0.40774803263371,0.000121999412053212
"ABW","2014","Demersal Fish","mycteroperca microlepis","gag","mycteroperca","serranidae","perciformes","import","Marine areas",0.190903899970654,5.71190090229254e-05
"ABW","2014","Demersal Fish","mycteroperca phenax","scamp","mycteroperca","serranidae","perciformes","import","Marine areas",0.0863323369294038,2.58308894307497e-05
"ABW","2014","Demersal Fish","myxinidae","hagfishes nei",NA,"myxinidae","myxiniformes","import","Marine areas",1.21148992996238,0.00036248135450005
"ABW","2014","Demersal Fish","negaprion brevirostris","lemon shark","negaprion","carcharhinidae","carcharhiniformes","import","Marine areas",0.0117541679387451,3.51688165958564e-06
"ABW","2014","Demersal Fish","ocyurus chrysurus","yellowtail snapper","ocyurus","lutjanidae","perciformes","import","Marine areas",0.405316135818798,0.000121271781365022
"ABW","2014","Demersal Fish","ophiodon elongatus","lingcod","ophiodon","hexagrammidae","scorpaeniformes","import","Marine areas",0.303987101864098,9.09538360237665e-05
"ABW","2014","Demersal Fish","orthopristis chrysoptera","pigfish","orthopristis","haemulidae","perciformes","import","Marine areas",0.00810632271637596,2.42543562730044e-06
"ABW","2014","Demersal Fish","pagrus pagrus","red porgy","pagrus","sparidae","perciformes","import","Marine areas",0.101329033954699,3.03179453412554e-05
"ABW","2014","Demersal Fish","paralichthys californicus","california flounder","paralichthys","paralichthyidae","pleuronectiformes","import","Marine areas",0.0693090592250144,2.07374746134188e-05
"ABW","2014","Demersal Fish","paralichthys dentatus","summer flounder","paralichthys","paralichthyidae","pleuronectiformes","import","Marine areas",2.29895312236422,0.000687853543902405
"ABW","2014","Demersal Fish","parophrys vetulus","english sole","parophrys","pleuronectidae","pleuronectiformes","import","Marine areas",0.0818738594353967,2.44968998357343e-05
"ABW","2014","Demersal Fish","platichthys flesus","european flounder","platichthys","pleuronectidae","pleuronectiformes","import","Marine areas",0.189793028126259,5.67866328959156e-05
"ABW","2014","Demersal Fish","pleurogrammus monopterygius","atka mackerel","pleurogrammus","hexagrammidae","scorpaeniformes","import","Marine areas",19.117951494301,0.00572014738342536
"ABW","2014","Demersal Fish","pleuronectes platessa","european plaice","pleuronectes","pleuronectidae","pleuronectiformes","import","Marine areas",3.6485956503557,0.00109167056254854
"ABW","2014","Demersal Fish","pleuronectiformes","flatfishes nei",NA,NA,"pleuronectiformes","import","Marine areas",10.9638014738985,0.00328040168592385
"ABW","2014","Demersal Fish","pogonias cromis","black drum","pogonias","sciaenidae","perciformes","import","Marine areas",1.12921075439117,0.000337863182882951
"ABW","2014","Demersal Fish","pollachius virens","saithe(=pollock)","pollachius","gadidae","gadiformes","import","Marine areas",7.3666452722719,0.00220412195790799
"ABW","2014","Demersal Fish","prionotus","atlantic searobins","prionotus","triglidae","scorpaeniformes","import","Marine areas",0.0267508649640406,8.00393757009146e-06
"ABW","2014","Demersal Fish","psettichthys melanostictus","pacific sand sole","psettichthys","pleuronectidae","pleuronectiformes","import","Marine areas",0.034046555408779,1.01868296346618e-05
"ABW","2014","Demersal Fish","pseudopleuronectes americanus","winter flounder","pseudopleuronectes","pleuronectidae","pleuronectiformes","import","Marine areas",0.970326829150203,0.000290324644587863
"ABW","2014","Demersal Fish","raja clavata","thornback ray","raja","rajidae","rajiformes","import","Marine areas",0.0217164847438866,6.49763618356128e-06
"ABW","2014","Demersal Fish","raja montagui","spotted ray","raja","rajidae","rajiformes","import","Marine areas",0.0220558048180098,6.59916174892941e-06
"ABW","2014","Demersal Fish","rajidae","rays and skates nei",NA,"rajidae","rajiformes","import","Marine areas",4.71306313793066,0.0014101623693516
"ABW","2014","Demersal Fish","rajiformes","rays, stingrays, mantas nei",NA,NA,"rajiformes","import","Marine areas",17.12993813707,0.00512532793287021
"ABW","2014","Demersal Fish","reinhardtius hippoglossoides","greenland halibut","reinhardtius","pleuronectidae","pleuronectiformes","import","Marine areas",50.2861439223973,0.0150457623383968
"ABW","2014","Demersal Fish","rhizoprionodon terraenovae","atlantic sharpnose shark","rhizoprionodon","carcharhinidae","carcharhiniformes","import","Marine areas",0.102544982362156,3.06817606853506e-05
"ABW","2014","Demersal Fish","rhomboplites aurorubens","vermilion snapper","rhomboplites","lutjanidae","perciformes","import","Marine areas",0.63067190733405,0.000188698891803975
"ABW","2014","Demersal Fish","ruvettus pretiosus","oilfish","ruvettus","gempylidae","perciformes","import","Marine areas",0.115920414844176,3.46837294703964e-05
"ABW","2014","Demersal Fish","scaridae","parrotfishes nei",NA,"scaridae","perciformes","import","Marine areas",0.044179458804249,1.32186241687874e-05
"ABW","2014","Demersal Fish","sciaenops ocellatus","red drum","sciaenops","sciaenidae","perciformes","import","Marine areas",0.61689115871621,0.000184575651237564
"ABW","2014","Demersal Fish","scophthalmus aquosus","windowpane flounder","scophthalmus","scophthalmidae","pleuronectiformes","import","Marine areas",0.0121594840745639,3.63815344095067e-06
"ABW","2014","Demersal Fish","scophthalmus maximus","turbot","scophthalmus","scophthalmidae","pleuronectiformes","import","Marine areas",0.217277954130241,6.50102036907355e-05
"ABW","2014","Demersal Fish","scophthalmus rhombus","brill","scophthalmus","scophthalmidae","pleuronectiformes","import","Marine areas",0.122720760141235,3.67184128081458e-05
"ABW","2014","Demersal Fish","scorpaenichthys marmoratus","cabezon","scorpaenichthys","cottidae","scorpaeniformes","import","Marine areas",0.0239136520133091,7.15503510053631e-06
"ABW","2014","Demersal Fish","scorpaenidae","scorpionfishes, redfishes nei",NA,"scorpaenidae","scorpaeniformes","import","Marine areas",6.38129724233115,0.00190930292581091
"ABW","2014","Demersal Fish","sebastes","atlantic redfishes nei","sebastes","sebastidae","scorpaeniformes","import","Marine areas",3.14738735632673,0.000941707565074906
"ABW","2014","Demersal Fish","sebastes","golden redfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",3.14738735632673,0.000941707565074906
"ABW","2014","Demersal Fish","sebastes alutus","pacific ocean perch","sebastes","sebastidae","scorpaeniformes","import","Marine areas",24.2165103027022,0.00724565119254478
"ABW","2014","Demersal Fish","sebastes carnatus","gopher rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.00932227112383238,2.78925097139552e-06
"ABW","2014","Demersal Fish","sebastes crameri","darkblotched rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.0364784522236918,1.0914460322852e-05
"ABW","2014","Demersal Fish","sebastes diploproa","splitnose rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.0149966970252955,4.48705591050581e-06
"ABW","2014","Demersal Fish","sebastes entomelas","widow rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.0948439757815989,2.83775968394152e-05
"ABW","2014","Demersal Fish","sebastes flavidus","yellowtail rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.605542306913284,0.000181180041359343
"ABW","2014","Demersal Fish","sebastes goodei","chilipepper rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.095654608053236,2.86201404021451e-05
"ABW","2014","Demersal Fish","sebastes melanops","black rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.0490432524340745,1.46738855451677e-05
"ABW","2014","Demersal Fish","sebastes melanostomus","blackgill rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.0510698331131685,1.52802444519928e-05
"ABW","2014","Demersal Fish","sebastes miniatus","vermilion rockfish","sebastes","sebastidae","scorpaeniformes","import","Marine areas",0.00810632271637596,2.42543562730044e-06
"ABW","2014","Demersal Fish","sebastolobus alascanus","shortspine thornyhead","sebastolobus","sebastidae","scorpaeniformes","import","Marine areas",0.358704780199636,0.000107325526508045
"ABW","2014","Demersal Fish","semicossyphus pulcher","california sheephead","semicossyphus","labridae","perciformes","import","Marine areas",0.0113488518029263,3.39560987822062e-06
"ABW","2014","Demersal Fish","solea solea","common sole","solea","soleidae","pleuronectiformes","import","Marine areas",1.02757429113651,0.000307453253789866
"ABW","2014","Demersal Fish","sparidae","porgies, seabreams nei",NA,"sparidae","perciformes","import","Marine areas",0.096006901526113,2.8725547646623e-05
"ABW","2014","Demersal Fish","sphoeroides maculatus","northern puffer","sphoeroides","tetraodontidae","tetraodontiformes","import","Marine areas",0.0202658067909399,6.06358906825111e-06
"ABW","2014","Demersal Fish","sphyrna lewini","scalloped hammerhead","sphyrna","sphyrnidae","carcharhiniformes","import","Marine areas",0.0125648002103827,3.75942522231569e-06
"ABW","2014","Demersal Fish","squalidae","dogfish sharks nei",NA,"squalidae","squaliformes","import","Marine areas",0.213940923650629,6.40117543447348e-05
"ABW","2014","Demersal Fish","squalus acanthias","picked dogfish","squalus","squalidae","squaliformes","import","Marine areas",4.23479009766448,0.00126706166734088
"ABW","2014","Demersal Fish","stenotomus chrysops","scup","stenotomus","sparidae","perciformes","import","Marine areas",2.73061480701124,0.000817007991056154
"ABW","2014","Demersal Fish","tautoga onitis","tautog","tautoga","labridae","perciformes","import","Marine areas",0.0433688265326114,1.29760806060574e-05
"ABW","2014","Demersal Fish","trichiurus lepturus","largehead hairtail","trichiurus","trichiuridae","perciformes","import","Marine areas",0.0715692541188179,2.14137315812051e-05
"ABW","2014","Demersal Fish","urophycis chuss","red hake","urophycis","phycidae","gadiformes","import","Marine areas",0.33398049591469,9.99279478447783e-05
"ABW","2014","Demersal Fish","urophycis tenuis","white hake","urophycis","phycidae","gadiformes","import","Marine areas",1.12313101235388,0.000336044106162475
"ABW","2014","Demersal Fish","zenopsis conchifer","silvery john dory","zenopsis","zeidae","zeiformes","import","Marine areas",0.0551229944713565,1.6492962265643e-05
"ABW","2014","Freshwater Fish","acipenser transmontanus","white sturgeon","acipenser","acipenseridae","acipenseriformes","import","Marine areas",0.0308040263222286,9.21665538374168e-06
"ABW","2014","Freshwater Fish","acipenseridae","sturgeons nei",NA,"acipenseridae","acipenseriformes","import","Inland waters",0.126119108400616,3.77352086144154e-05
"ABW","2014","Freshwater Fish","alosa mediocris","hickory shad","alosa","clupeidae","clupeiformes","import","Inland waters",0.0149966970252955,4.48705591050581e-06
"ABW","2014","Freshwater Fish","alosa pseudoharengus","alewife","alosa","clupeidae","clupeiformes","import","Marine areas",0.295880779147722,8.8528400396466e-05
"ABW","2014","Freshwater Fish","alosa sapidissima","american shad","alosa","clupeidae","clupeiformes","import","Marine areas",0.179149732031909,5.36021273633398e-05
"ABW","2014","Freshwater Fish","anguilla rostrata","american eel","anguilla","anguillidae","anguilliformes","import","Marine areas",0.237650759107458,7.11058069313967e-05
"ABW","2014","Freshwater Fish","coregonus artedi","lake cisco","coregonus","salmonidae","salmoniformes","import","Inland waters",0.242379049219641,7.25205252562832e-05
"ABW","2014","Freshwater Fish","coregonus clupeaformis","lake(=common) whitefish","coregonus","salmonidae","salmoniformes","import","Inland waters",1.68206196364801,0.000503277892664843
"ABW","2014","Freshwater Fish","dorosoma cepedianum","american gizzard shad","dorosoma","clupeidae","clupeiformes","import","Inland waters",0.670392888644291,0.000200583526377747
"ABW","2014","Freshwater Fish","lates calcarifer","barramundi(=giant seaperch)","lates","latidae","perciformes","import","Marine areas",0.162126454327519,4.85087125460089e-05
"ABW","2014","Freshwater Fish","morone americana","white perch","morone","moronidae","perciformes","import","Inland waters",0.522047182934611,0.000156198054398148
"ABW","2014","Freshwater Fish","morone saxatilis","striped bass","morone","moronidae","perciformes","import","Marine areas",1.27512456328594,0.00038152102417436
"ABW","2014","Freshwater Fish","oncorhynchus gorbuscha","pink(=humpback) salmon","oncorhynchus","salmonidae","salmoniformes","import","Marine areas",43.2610124404836,0.0129438223122143
"ABW","2014","Freshwater Fish","oncorhynchus keta","chum(=keta=dog) salmon","oncorhynchus","salmonidae","salmoniformes","import","Marine areas",27.5675769777156,0.00824830020954199
"ABW","2014","Freshwater Fish","oncorhynchus kisutch","coho(=silver) salmon","oncorhynchus","salmonidae","salmoniformes","import","Marine areas",4.28986598150616,0.0012835405339674
"ABW","2014","Freshwater Fish","oncorhynchus mykiss","rainbow trout","oncorhynchus","salmonidae","salmoniformes","import","Inland waters",6.72336496962947,0.00201165059710001
"ABW","2014","Freshwater Fish","oncorhynchus nerka","sockeye(=red) salmon","oncorhynchus","salmonidae","salmoniformes","import","Marine areas",39.1304357003542,0.0117079415883233
"ABW","2014","Freshwater Fish","oncorhynchus tshawytscha","chinook(=spring=king) salmon","oncorhynchus","salmonidae","salmoniformes","import","Marine areas",2.63901336031619,0.000789600568467659
"ABW","2014","Freshwater Fish","osmerus eperlanus","european smelt","osmerus","osmeridae","osmeriformes","import","Marine areas",0.113672224831281,3.40110643983284e-05
"ABW","2014","Freshwater Fish","osmerus mordax","rainbow smelt","osmerus","osmeridae","osmeriformes","import","Marine areas",0.0583655235579069,1.74631365165632e-05
"ABW","2014","Freshwater Fish","perca fluviatilis","european perch","perca","percidae","perciformes","import","Marine areas",0.0147038698786732,4.39944116595293e-06
"ABW","2014","Freshwater Fish","salmo salar","atlantic salmon","salmo","salmonidae","salmoniformes","import","Marine areas",7.8205748406237,0.0023399390214381
"ABW","2014","Freshwater Fish","salvelinus alpinus","arctic char","salvelinus","salmonidae","salmoniformes","import","Marine areas",0.0405316135818798,1.21271781365022e-05
"ABW","2014","Freshwater Fish","salvelinus namaycush","lake trout(=char)","salvelinus","salmonidae","salmoniformes","import","Inland waters",0.179960364303547,5.38446709260699e-05
"ABW","2014","Marine Fish; Other","Osteichthyes","Marine fishes nei","Osteichthyes",NA,"PISCES MISCELLANEA","Capture production","Marine areas",39.2,0.0117287554316223
"ABW","2014","Moluscs; Other","bivalvia","clams, etc. nei",NA,NA,NA,"import","Marine areas",11.900916892901,0.00356078937879842
"ABW","2014","Moluscs; Other","crassostrea","cupped oysters nei","crassostrea","ostreidae","ostreoida","import","Marine areas",3.19999936531821,0.000957449233090911
"ABW","2014","Moluscs; Other","crassostrea gigas","pacific cupped oyster","crassostrea","ostreidae","ostreoida","import","Marine areas",13.9455476850482,0.00417254893260092
"ABW","2014","Moluscs; Other","mytilidae","sea mussels nei",NA,"mytilidae","mytiloida","import","Marine areas",240.413343998601,0.0719323804657667
