"","mar_taxa_name","mar_match_key","afcd_match_species","afcd_match_genus","afcd_match_family","afcd_match_order","afcd_match_class","afcd_match_phylum","missing","tonnes"
"270","anoplopoma fimbria","anoplopoma fimbria","anoplopoma fimbria","anoplopoma",NA,NA,NA,NA,0,2270675.936
"271","nemipterus virgatus","nemipterus virgatus","nemipterus virgatus","nemipterus",NA,NA,NA,NA,0,2265591.111
"272","ilisha elongata","ilisha elongata","ilisha elongata","ilisha",NA,NA,NA,NA,0,2251357.645
"273","octopus","octopus",NA,"octopus",NA,NA,NA,NA,0,2250915.562
"274","squalidae","squalidae",NA,NA,"squalidae",NA,NA,NA,0,2246725.414
"275","merluccius australis","merluccius australis","merluccius australis","merluccius",NA,NA,NA,NA,0,2231789.167
"276","priacanthidae","priacanthidae",NA,NA,"priacanthidae",NA,NA,NA,0,2189301
"277","fenneropenaeus merguiensis","fenneropenaeus merguiensis","fenneropenaeus merguiensis","fenneropenaeus",NA,NA,NA,NA,0,2160804.834
"278","triglidae","triglia",NA,"triglia","triglidae",NA,NA,NA,0,2134767.163
"279","palinuridae","palinuridae",NA,NA,"palinuridae",NA,NA,NA,0,2117100.955
"280","chirocentrus","chirocentrus",NA,"chirocentrus",NA,NA,NA,NA,0,2116436.282
"281","etrumeus whiteheadi","etrumeus",NA,"etrumeus",NA,NA,NA,NA,0,2112431
"282","pagrus auratus","pagrus auratus","pagrus auratus","pagrus",NA,NA,NA,NA,0,2086751.104
"283","paralichthyidae","paralichthyidae",NA,NA,"paralichthyidae",NA,NA,NA,0,2058300.341
"284","genypterus blacodes","genypterus blacodes","genypterus blacodes","genypterus",NA,NA,NA,NA,0,2039931.424
"285","oncorhynchus tshawytscha","oncorhynchus tshawytscha","oncorhynchus tshawytscha","oncorhynchus",NA,NA,NA,NA,0,2030837.597
"286","xiphopenaeus kroyeri","xiphopenaeus kroyeri","xiphopenaeus kroyeri","xiphopenaeus",NA,NA,NA,NA,0,2022120.514
"287","panulirus argus","panulirus argus","panulirus argus","panulirus",NA,NA,NA,NA,0,2016605.745
"288","gerreidae","gerreidae",NA,NA,"gerreidae",NA,NA,NA,0,2011458.806
"289","dentex","dentex",NA,"dentex",NA,NA,NA,NA,0,2002561.173
"290","pomadasys","pomadasys",NA,"pomadasys",NA,NA,NA,NA,0,1999761.419
"291","conger conger","conger",NA,"conger",NA,NA,NA,NA,0,1996771.048
"292","penaeus monodon","penaeus monodon","penaeus monodon","penaeus",NA,NA,NA,NA,0,1995019.761
"293","thryssa","thryssa",NA,"thryssa",NA,NA,NA,NA,0,1984726.246
"294","pennahia argentata","pennahia argentata","pennahia argentata","pennahia",NA,NA,NA,NA,0,1981090.358
"295","portunus","portunus",NA,"portunus",NA,NA,NA,NA,0,1939388.117
"296","litopenaeus setiferus","litopenaeus",NA,"litopenaeus",NA,NA,NA,NA,0,1933837.206
"297","doryteuthis opalescens","moroteuthis",NA,"moroteuthis",NA,NA,NA,NA,0,1927590.028
"298","anarhichas lupus","anarhichas lupus","anarhichas lupus","anarhichas",NA,NA,NA,NA,0,1903148.406
"299","pagrus major","pagrus major","pagrus major","pagrus",NA,NA,NA,NA,0,1874844.917
"300","psenopsis anomala","psenopsis anomala","psenopsis anomala","psenopsis",NA,NA,NA,NA,0,1872340.952
"301","normanichthys crockeri","normichthys",NA,"normichthys",NA,NA,NA,NA,0,1867921.943
"302","anchoa nasus","anchoa",NA,"anchoa",NA,NA,NA,NA,0,1867688.15
"303","balistidae","balistidae",NA,NA,"balistidae",NA,NA,NA,0,1859224.897
"304","illex illecebrosus","illex illecebrosus","illex illecebrosus","illex",NA,NA,NA,NA,0,1849260.388
"305","myliobatidae","myliobatidae",NA,NA,"myliobatidae",NA,NA,NA,0,1832621.452
"306","merluccius capensis","merluccius",NA,"merluccius",NA,NA,NA,NA,0,1831575.619
"307","apogonidae",NA,NA,NA,NA,NA,NA,NA,1,1812867.131
"308","arcidae","arcidae",NA,NA,"arcidae",NA,NA,NA,0,1812524.037
"309","pleoticus muelleri","pleoticus muelleri","pleoticus muelleri","pleoticus",NA,NA,NA,NA,0,1795639.624
"310","cynoscion guatucupa","cynoscion",NA,"cynoscion",NA,NA,NA,NA,0,1790579.033
"311","sillaginidae","sillaginidae",NA,NA,"sillaginidae",NA,NA,NA,0,1788460.303
"312","anguilliformes","anguilliformes",NA,NA,NA,"anguilliformes",NA,NA,0,1779206.619
"313","scorpaena","scorpaena",NA,"scorpaena",NA,NA,NA,NA,0,1776619.061
"314","pennahia","pennahia",NA,"pennahia",NA,NA,NA,NA,0,1745747.511
"315","lepidopus caudatus","lepidopus caudatus","lepidopus caudatus","lepidopus",NA,NA,NA,NA,0,1737069.919
"316","scombroidea","scomberoides",NA,"scomberoides",NA,NA,NA,NA,0,1717522.506
"317","penaeus semisulcatus","penaeus semisulcatus","penaeus semisulcatus","penaeus",NA,NA,NA,NA,0,1692418.149
"318","platichthys flesus","platichthys flesus","platichthys flesus","platichthys",NA,NA,NA,NA,0,1689529.305
"319","parapenaeus longirostris","parapenaeus longirostris","parapenaeus longirostris","parapenaeus",NA,NA,NA,NA,0,1686423.32
"320","cerastoderma edule","cerastoderma edule","cerastoderma edule","cerastoderma",NA,NA,NA,NA,0,1663790.219
"321","synodus scituliceps","synodus",NA,"synodus",NA,NA,NA,NA,0,1659522.815
"322","dussumieria acuta","dussumieria acuta","dussumieria acuta","dussumieria",NA,NA,NA,NA,0,1650866.313
"323","pagellus bellottii","pagellus",NA,"pagellus",NA,NA,NA,NA,0,1648235.054
"324","euthynnus alletteratus","euthynnus alletteratus","euthynnus alletteratus","euthynnus",NA,NA,NA,NA,0,1644431.775
"325","liza haematocheila","liza haematocheila","liza haematocheila","liza",NA,NA,NA,NA,0,1642438.685
"326","gadidae","gadidae",NA,NA,"gadidae",NA,NA,NA,0,1638883.027
"327","pecten maximus","pecten maximus","pecten maximus","pecten",NA,NA,NA,NA,0,1636148.842
"328","ruditapes philippinarum","ruditapes philippinarum","ruditapes philippinarum","ruditapes",NA,NA,NA,NA,0,1617747.239
"329","marine groundfishes not identified",NA,NA,NA,NA,NA,NA,NA,1,1615723.842
"330","ephippidae","ephippidae",NA,NA,"ephippidae",NA,NA,NA,0,1612402.105
"331","lophius","lophius",NA,"lophius",NA,NA,NA,NA,0,1603929.074
"332","cancer pagurus","cancer pagurus","cancer pagurus","cancer",NA,NA,NA,NA,0,1586253.834
"333","chanos chanos","chanos",NA,"chanos",NA,NA,NA,NA,0,1577756.112
"334","engraulis anchoita","engraulis anchoita","engraulis anchoita","engraulis",NA,NA,NA,NA,0,1574726.375
"335","glyptocephalus cynoglossus","glyptocephalus cynoglossus","glyptocephalus cynoglossus","glyptocephalus",NA,NA,NA,NA,0,1570037.55
"336","clupanodon thrissa","clupanodon",NA,"clupanodon",NA,NA,NA,NA,0,1567330.808
"337","diplectrum pacificum","diplectrum",NA,"diplectrum",NA,NA,NA,NA,0,1560050.8
"338","hoplostethus atlanticus","hoplostethus atlanticus","hoplostethus atlanticus","hoplostethus",NA,NA,NA,NA,0,1553920.379
"339","seriola","seriola",NA,"seriola",NA,NA,NA,NA,0,1528395.037
"340","konosirus punctatus","konosirus punctatus","konosirus punctatus","konosirus",NA,NA,NA,NA,0,1523704.721
"341","macrouridae","macrouridae",NA,NA,"macrouridae",NA,NA,NA,0,1498057.534
"342","litopenaeus stylirostris","litopenaeus",NA,"litopenaeus",NA,NA,NA,NA,0,1488057.515
"343","mullus barbatus barbatus","mullus barbatus","mullus barbatus","mullus",NA,NA,NA,NA,0,1478234.551
"344","dasyatidae","dasyatidae",NA,NA,"dasyatidae",NA,NA,NA,0,1472968.422
"345","lepidopsetta bilineata","lepidopsetta bilineata","lepidopsetta bilineata","lepidopsetta",NA,NA,NA,NA,0,1469580.483
"346","mullus surmuletus","mullus surmuletus","mullus surmuletus","mullus",NA,NA,NA,NA,0,1468664.04
"347","priacanthus macracanthus","priacanthus macracanthus","priacanthus macracanthus","priacanthus",NA,NA,NA,NA,0,1455908.581
"348","mustelus","mustelus",NA,"mustelus",NA,NA,NA,NA,0,1442898.505
"349","metacarcinus magister",NA,NA,NA,NA,NA,NA,NA,1,1432507.548
"350","lophiidae","lophiidae",NA,NA,"lophiidae",NA,NA,NA,0,1431788.215
"351","conger myriaster","conger myriaster","conger myriaster","conger",NA,NA,NA,NA,0,1430921.322
"352","paralichthys dentatus","paralichthys",NA,"paralichthys",NA,NA,NA,NA,0,1418011.676
"353","caranx hippos","caranx hippos","caranx hippos","caranx",NA,NA,NA,NA,0,1415403.851
"354","ethmidium maculatum",NA,NA,NA,NA,NA,NA,NA,1,1410168.356
"355","anadara","anadara",NA,"anadara",NA,NA,NA,NA,0,1409391.517
"356","latidae","lotidae",NA,NA,"lotidae",NA,NA,NA,0,1408787.387
"357","lobatus gigas","lobotes",NA,"lobotes",NA,NA,NA,NA,0,1399251.548
"358","pseudotolithus elongatus","pseudotolithus elongatus","pseudotolithus elongatus","pseudotolithus",NA,NA,NA,NA,0,1396615.449
"359","terapontidae","terapontidae",NA,NA,"terapontidae",NA,NA,NA,0,1386308.875
"360","megalops cyprinoides","megalops",NA,"megalops",NA,NA,NA,NA,0,1376789.613
"361","dussumieria","dussumieria",NA,"dussumieria",NA,NA,NA,NA,0,1363553.992
"362","zeus faber","zeus faber","zeus faber","zeus",NA,NA,NA,NA,0,1363364.578
"363","prionotus stephanophrys","prionotus",NA,"prionotus",NA,NA,NA,NA,0,1346522.027
"364","aulacomya ater","aulacomya ater","aulacomya ater","aulacomya",NA,NA,NA,NA,0,1343120.245
"365","lethrinus","lethrinus",NA,"lethrinus",NA,NA,NA,NA,0,1343082.472
"366","mactridae","mactridae",NA,NA,"mactridae",NA,NA,NA,0,1340973.43
"367","arca","arca",NA,"arca",NA,NA,NA,NA,0,1315922.766
"368","spicara smaris","spicara smaris","spicara smaris","spicara",NA,NA,NA,NA,0,1315306.106
"369","atheresthes stomias","atheresthes stomias","atheresthes stomias","atheresthes",NA,NA,NA,NA,0,1303836.106
"370","lutjanus malabaricus","lutjanus malabaricus","lutjanus malabaricus","lutjanus",NA,NA,NA,NA,0,1291356.213
"371","loxechinus albus","loxechinus albus","loxechinus albus","loxechinus",NA,NA,NA,NA,0,1290395.986
"372","spratelloides gracilis","spratelloides gracilis","spratelloides gracilis","spratelloides",NA,NA,NA,NA,0,1290268.502
"373","alosa pseudoharengus","alosa pseudoharengus","alosa pseudoharengus","alosa",NA,NA,NA,NA,0,1273298.854
"374","parapenaeopsis","parapenaeopsis",NA,"parapenaeopsis",NA,NA,NA,NA,0,1271477.039
"375","scomberomorus cavalla","scomberomorus cavalla","scomberomorus cavalla","scomberomorus",NA,NA,NA,NA,0,1253786.093
"376","coryphaena","coryphaena",NA,"coryphaena",NA,NA,NA,NA,0,1251041.313
"377","paralichthys olivaceus","paralichthys olivaceus","paralichthys olivaceus","paralichthys",NA,NA,NA,NA,0,1215099.698
"378","sepia officinalis","sepia officinalis","sepia officinalis","sepia",NA,NA,NA,NA,0,1205787.303
"379","scomberomorus maculatus","scomberomorus maculatus","scomberomorus maculatus","scomberomorus",NA,NA,NA,NA,0,1204542.551
"380","caesio","caesio",NA,"caesio",NA,NA,NA,NA,0,1189582.964
"381","lophius piscatorius","lophius piscatorius","lophius piscatorius","lophius",NA,NA,NA,NA,0,1189272.228
"382","turbo cornutus","turbo cornutus","turbo cornutus","turbo",NA,NA,NA,NA,0,1167226.356
"383","charybdis","charybdis",NA,"charybdis",NA,NA,NA,NA,0,1159814.491
"384","himantura","himantura",NA,"himantura",NA,NA,NA,NA,0,1158448.722
"385","isurus oxyrinchus","isurus oxyrinchus","isurus oxyrinchus","isurus",NA,NA,NA,NA,0,1156204.388
"386","litopenaeus vannamei","litopenaeus vannamei","litopenaeus vannamei","litopenaeus",NA,NA,NA,NA,0,1156032.159
"387","sillago","sillago",NA,"sillago",NA,NA,NA,NA,0,1150265.579
"388","pseudopleuronectes americanus",NA,NA,NA,NA,NA,NA,NA,1,1149930.438
"389","farfantepenaeus aztecus",NA,NA,NA,NA,NA,NA,NA,1,1148242.525
"390","farfantepenaeus californiensis",NA,NA,NA,NA,NA,NA,NA,1,1142259.404
"391","auxis rochei","auxis rochei","auxis rochei","auxis",NA,NA,NA,NA,0,1141431.315
"392","scorpaenidae","scorpaenidae",NA,NA,"scorpaenidae",NA,NA,NA,0,1138822.941
"393","mustelus schmitti","mustelus schmitti","mustelus schmitti","mustelus",NA,NA,NA,NA,0,1135723.174
"394","oreosomatidae",NA,NA,NA,NA,NA,NA,NA,1,1121417.919
"395","soleidae","soleidae",NA,NA,"soleidae",NA,NA,NA,0,1120275.322
"396","chelidonichthys kumu","chelidonichthys",NA,"chelidonichthys",NA,NA,NA,NA,0,1118203.142
"397","pagellus erythrinus","pagellus erythrinus","pagellus erythrinus","pagellus",NA,NA,NA,NA,0,1115789.889
"398","caranx rhonchus","caranx rhonchus","caranx rhonchus","caranx",NA,NA,NA,NA,0,1115397.242
"399","otolithes ruber","otolithes ruber","otolithes ruber","otolithes",NA,NA,NA,NA,0,1111907.455
"400","opisthonema oglinum","opisthonema oglinum","opisthonema oglinum","opisthonema",NA,NA,NA,NA,0,1093269.114
"401","champsocephalus gunnari","champsocephalus gunnari","champsocephalus gunnari","champsocephalus",NA,NA,NA,NA,0,1088646.418
"402","thunnus orientalis","thunnus orientalis","thunnus orientalis","thunnus",NA,NA,NA,NA,0,1086572.573
"403","cervimunida johni","cervimunida johni","cervimunida johni","cervimunida",NA,NA,NA,NA,0,1065280.905
"404","trachurus picturatus","trachurus picturatus","trachurus picturatus","trachurus",NA,NA,NA,NA,0,1050473.28
"405","platycephalus indicus","platycephalus indicus","platycephalus indicus","platycephalus",NA,NA,NA,NA,0,1039076.512
"406","fistularia corneta","fistularia",NA,"fistularia",NA,NA,NA,NA,0,1037351.763
"407","scomber australasicus","scomber australasicus","scomber australasicus","scomber",NA,NA,NA,NA,0,1036408.7
"408","zygochlamys patagonica",NA,NA,NA,NA,NA,NA,NA,1,1036099.608
"409","pagellus","pagellus",NA,"pagellus",NA,NA,NA,NA,0,1032275.966
"410","myoxocephalus","myoxocephalus",NA,"myoxocephalus",NA,NA,NA,NA,0,1029703.772
"411","dicentrarchus labrax","dicentrarchus labrax","dicentrarchus labrax","dicentrarchus",NA,NA,NA,NA,0,1026497.264
"412","trachurus symmetricus","trachurus symmetricus","trachurus symmetricus","trachurus",NA,NA,NA,NA,0,1025719.47
"413","scomberoides","scomberoides",NA,"scomberoides",NA,NA,NA,NA,0,1010170.129
"414","notothenia rossii","notothenia",NA,"notothenia",NA,NA,NA,NA,0,1007751.321
"415","moridae","moridae",NA,NA,"moridae",NA,NA,NA,0,1006533.699
"416","chamelea gallina","chamelea gallina","chamelea gallina","chamelea",NA,NA,NA,NA,0,998058.4697
"417","argopecten purpuratus",NA,NA,NA,NA,NA,NA,NA,1,993160.7758
"418","acanthocybium solandri","acanthocybium solandri","acanthocybium solandri","acanthocybium",NA,NA,NA,NA,0,979522.6666
"419","nemipterus japonicus","nemipterus japonicus","nemipterus japonicus","nemipterus",NA,NA,NA,NA,0,975958.4039
"420","urophycis tenuis","urophycis",NA,"urophycis",NA,NA,NA,NA,0,962299.1057
"421","pleuroncodes monodon","pleuroncodes monodon","pleuroncodes monodon","pleuroncodes",NA,NA,NA,NA,0,959372.2187
"422","aristeus antennatus","aristeus antennatus","aristeus antennatus","aristeus",NA,NA,NA,NA,0,952235.0651
"423","scophthalmus maximus","scophthalmus maximus","scophthalmus maximus","scophthalmus",NA,NA,NA,NA,0,943395.0701
"424","squaliformes","squaliformes","squaliformes","squaliformes",NA,"squaliformes",NA,NA,0,942606.8036
"425","trisopterus luscus","trisopterus luscus","trisopterus luscus","trisopterus",NA,NA,NA,NA,0,941411.0936
"426","belone belone","belone",NA,"belone",NA,NA,NA,NA,0,941262.8396
"427","atrobucca nibe","atrobucca nibe","atrobucca nibe","atrobucca",NA,NA,NA,NA,0,940646.4422
"428","merluccius senegalensis","merluccius",NA,"merluccius",NA,NA,NA,NA,0,938095.4811
"429","carcharhinus falciformis","carcharhinus",NA,"carcharhinus",NA,NA,NA,NA,0,937064.9849
"430","salmo salar","salmo salar","salmo salar","salmo",NA,NA,NA,NA,0,936800.5306
"431","sparus aurata","sparus aurata","sparus aurata","sparus",NA,NA,NA,NA,0,929816.1382
"432","trachurus declivis","trachurus",NA,"trachurus",NA,NA,NA,NA,0,928435.5894
"433","lutjanus johnii","lutjanus johnii","lutjanus johnii","lutjanus",NA,NA,NA,NA,0,928007.0274
"434","psettodes erumei","psettodes erumei","psettodes erumei","psettodes",NA,NA,NA,NA,0,927254.5609
"435","coryphaenoides rupestris","coryphaenoides",NA,"coryphaenoides",NA,NA,NA,NA,0,923733.0986
"436","scaridae","sparidae",NA,NA,"sparidae",NA,NA,NA,0,920681.0458
"437","carangoides","carangoides",NA,"carangoides",NA,NA,NA,NA,0,918892.4333
"438","pandalus jordani","pandalus jordani","pandalus jordani","pandalus",NA,NA,NA,NA,0,909450.4749
"439","epinephelus aeneus","epinephelus aeneus","epinephelus aeneus","epinephelus",NA,NA,NA,NA,0,905565.4908
"440","syacium ovale","syacium",NA,"syacium",NA,NA,NA,NA,0,892920.7228
"441","carcharhinus melanopterus","carcharhinus",NA,"carcharhinus",NA,NA,NA,NA,0,890746.8523
"442","scomberomorus brasiliensis","scomberomorus brasiliensis","scomberomorus brasiliensis","scomberomorus",NA,NA,NA,NA,0,882106.202
"443","peprilus","peprilus",NA,"peprilus",NA,NA,NA,NA,0,879750.4716
"444","upeneus vittatus","upeneus vittatus","upeneus vittatus","upeneus",NA,NA,NA,NA,0,874338.4125
"445","upeneus","upeneus",NA,"upeneus",NA,NA,NA,NA,0,869483.7212
"446","ruvettus pretiosus",NA,NA,NA,NA,NA,NA,NA,1,860360.427
"447","dissostichus eleginoides","dissostichus eleginoides","dissostichus eleginoides","dissostichus",NA,NA,NA,NA,0,856793.1898
"448","holothuroidea","holothuroidea",NA,NA,NA,NA,"holothuroidea",NA,0,856735.7544
"449","peprilus triacanthus","peprilus triacanthus","peprilus triacanthus","peprilus",NA,NA,NA,NA,0,852364.616
"450","pandalidae","pandalidae",NA,NA,"pandalidae",NA,NA,NA,0,851590.1599
"451","caranx ignobilis","caranx ignobilis","caranx ignobilis","caranx",NA,NA,NA,NA,0,848927.6446
"452","caranx crysos","caranx crysos","caranx crysos","caranx",NA,NA,NA,NA,0,838694.7816
"453","seriolella","seriolella",NA,"seriolella",NA,NA,NA,NA,0,835787.1551
"454","lateolabrax japonicus","lateolabrax japonicus","lateolabrax japonicus","lateolabrax",NA,NA,NA,NA,0,834516.0669
"455","alopias superciliosus",NA,NA,NA,NA,NA,NA,NA,1,833407.1045
"456","dentex macrophthalmus","dentex",NA,"dentex",NA,NA,NA,NA,0,824936.9132
"457","pagrus","pagrus",NA,"pagrus",NA,NA,NA,NA,0,820807.5831
"458","lutjanus purpureus","lutjanus purpureus","lutjanus purpureus","lutjanus",NA,NA,NA,NA,0,819710.1678
"459","lethrinus nebulosus","lethrinus nebulosus","lethrinus nebulosus","lethrinus",NA,NA,NA,NA,0,816128.7074
"460","lutjanus campechanus","lutjanus campechanus","lutjanus campechanus","lutjanus",NA,NA,NA,NA,0,795273.8416
"461","cymbium",NA,NA,NA,NA,NA,NA,NA,1,790406.0206
"462","paralonchurus brasiliensis","parolonchurus brasiliensis","parolonchurus brasiliensis","parolonchurus",NA,NA,NA,NA,0,775458.2643
"463","odontesthes regia","odontesthes regia","odontesthes regia","odontesthes",NA,NA,NA,NA,0,774834.8791
"464","doryteuthis pealeii","moroteuthis",NA,"moroteuthis",NA,NA,NA,NA,0,767002.3925
"465","dasyatis","dasyatis",NA,"dasyatis",NA,NA,NA,NA,0,765905.9868
"466","pagrus pagrus","pagrus",NA,"pagrus",NA,NA,NA,NA,0,765010.4368
"467","siluriformes","siluriformes",NA,NA,NA,"siluriformes",NA,NA,0,758076.7227
"468","chirocentrus nudus","chirocentrus nudus","chirocentrus nudus","chirocentrus",NA,NA,NA,NA,0,751040.7393
"469","marsupenaeus japonicus","marsupenaeus japonicus","marsupenaeus japonicus","marsupenaeus",NA,NA,NA,NA,0,748452.1022
"470","lepidorhombus","lepidorhombus",NA,"lepidorhombus",NA,NA,NA,NA,0,747291.8365
"471","mugil liza","mugil liza","mugil liza","mugil",NA,NA,NA,NA,0,746456.9445
"472","jasus lalandii","jasus",NA,"jasus",NA,NA,NA,NA,0,745635.9803
"473","pomadasys stridens","pomadasys stridens","pomadasys stridens","pomadasys",NA,NA,NA,NA,0,724596.228
"474","ilisha africana","ilisha africana","ilisha africana","ilisha",NA,NA,NA,NA,0,722983.3375
"475","sphyraena barracuda","sphyraena",NA,"sphyraena",NA,NA,NA,NA,0,721767.3689
"476","ostreidae","ostreidae",NA,NA,"ostreidae",NA,NA,NA,0,717827.9157
"477","atheresthes evermanni","atheresthes",NA,"atheresthes",NA,NA,NA,NA,0,716128.2276
"478","argyrosomus regius","argyrosomus regius","argyrosomus regius","argyrosomus",NA,NA,NA,NA,0,714463.4184
"479","stomolophus",NA,NA,NA,NA,NA,NA,NA,1,711647.5629
"480","farfantepenaeus notialis",NA,NA,NA,NA,NA,NA,NA,1,711545.7578
"481","jasus edwardsii","jasus edwardsii","jasus edwardsii","jasus",NA,NA,NA,NA,0,711454.4951
"482","cardiidae","cardiidae",NA,NA,"cardiidae",NA,NA,NA,0,707442.6512
"483","aequipecten opercularis",NA,NA,NA,NA,NA,NA,NA,1,705616.1586
"484","labridae","labridae",NA,NA,"labridae",NA,NA,NA,0,704439.1709
"485","microstomus kitt","microstomus kitt","microstomus kitt","microstomus",NA,NA,NA,NA,0,702760.9203
"486","atherina boyeri","atherina boyeri","atherina boyeri","atherina",NA,NA,NA,NA,0,700944.1339
"487","diplodus sargus sargus","diplodus sargus","diplodus sargus","diplodus",NA,NA,NA,NA,0,700139.4362
"488","mytilidae","mytilidae",NA,NA,"mytilidae",NA,NA,NA,0,693055.7795
"489","alopias",NA,NA,NA,NA,NA,NA,NA,1,689337.5332
"490","lutjanus synagris","lutjanus",NA,"lutjanus",NA,NA,NA,NA,0,688505.2683
"491","scylla serrata","scylla serrata","scylla serrata","scylla",NA,NA,NA,NA,0,688232.5778
"492","sepioteuthis lessoniana","sepiotenthis lessoniana","sepiotenthis lessoniana","sepioteuthis",NA,NA,NA,NA,0,687763.0983
"493","ammodytidae","ammodytidae",NA,NA,"ammodytidae",NA,NA,NA,0,687754.4677
"494","istiophoridae","istiophoridae",NA,NA,"istiophoridae",NA,NA,NA,0,685377.725
"495","microstomus pacificus","microstomus pacificus","microstomus pacificus","microstomus",NA,NA,NA,NA,0,684981.8669
"496","acanthuridae","acanthuridae",NA,NA,"acanthuridae",NA,NA,NA,0,681655.4817
"497","polydactylus quadrifilis","polydactylus quadrifilis","polydactylus quadrifilis","polydactylus",NA,NA,NA,NA,0,681023.863
"498","pteriomorphia",NA,NA,NA,NA,NA,NA,NA,1,679857.1135
"499","anodontostoma chacunda",NA,NA,NA,NA,NA,NA,NA,1,679745.6606
"500","rhinobatidae",NA,NA,NA,NA,NA,NA,NA,1,677601.16
"501","pseudopentaceros wheeleri",NA,NA,NA,NA,NA,NA,NA,1,671331.3
"502","pristipomoides","pristipomoides",NA,"pristipomoides",NA,NA,NA,NA,0,670206.3906
"503","centropomidae","centropomidae",NA,NA,"centropomidae",NA,NA,NA,0,669858.904
"504","porichthys","aorichthys",NA,"aorichthys",NA,NA,NA,NA,0,666764.4819
"505","panulirus","panulirus",NA,"panulirus",NA,NA,NA,NA,0,666250.4126
"506","argopecten gibbus",NA,NA,NA,NA,NA,NA,NA,1,666217.9461
"507","pollachius pollachius","pollachius",NA,"pollachius",NA,NA,NA,NA,0,664428.6086
"508","leiostomus xanthurus","leiostomus",NA,"leiostomus",NA,NA,NA,NA,0,663327.5155
"509","sardinella gibbosa","sardinella",NA,"sardinella",NA,NA,NA,NA,0,662573.9325
"510","urophycis chuss","urophycis",NA,"urophycis",NA,NA,NA,NA,0,654801.7153
"511","loligo","loligo",NA,"loligo",NA,NA,NA,NA,0,649969.8166
"512","scomberoides lysan","scomberoides lysan","scomberoides lysan","scomberoides",NA,NA,NA,NA,0,649064.6674
"513","scomberoides commersonnianus","scomberoides commersonianus","scomberoides commersonianus","scomberoides",NA,NA,NA,NA,0,647994.3885
"514","squilla mantis","squilla mantis","squilla mantis","squilla",NA,NA,NA,NA,0,644694.7239
"515","mullus","mullus",NA,"mullus",NA,NA,NA,NA,0,636747.5989
"516","bathylagidae","bathylagidae",NA,NA,"bathylagidae",NA,NA,NA,0,636368
"517","terapon","terapon",NA,"terapon",NA,NA,NA,NA,0,636209.8701
"518","elagatis bipinnulata","elagatis bipinnulata","elagatis bipinnulata","elagatis",NA,NA,NA,NA,0,632942.5834
"519","chionoecetes japonicus","chionoecetes japonicus","chionoecetes japonicus","chionoecetes",NA,NA,NA,NA,0,632250
"520","hippoglossus hippoglossus","hippoglossus",NA,"hippoglossus",NA,NA,NA,NA,0,631446.0908
"521","eucinostomus",NA,NA,NA,NA,NA,NA,NA,1,626034.8352
"522","thunnus maccoyii","thunnus maccoyii","thunnus maccoyii","thunnus",NA,NA,NA,NA,0,623238.7526
"523","eutrigla gurnardus","eutrigla gurnardus","eutrigla gurnardus","eutrigla",NA,NA,NA,NA,0,618120.682
"524","nemadactylus","nemadactylus",NA,"nemadactylus",NA,NA,NA,NA,0,616229.4363
"525","alectis alexandrina","alectis alexandrinus","alectis alexandrinus","alectis",NA,NA,NA,NA,0,615221.2242
"526","cynoscion acoupa","cynoscion",NA,"cynoscion",NA,NA,NA,NA,0,605447.4601
"527","ocyurus chrysurus","octupus",NA,"octupus",NA,NA,NA,NA,0,600695.4992
"528","pseudotolithus senegalensis","pseudotolithus senegalensis","pseudotolithus senegalensis","pseudotolithus",NA,NA,NA,NA,0,600028.1014
"529","pandalus","pandalus",NA,"pandalus",NA,NA,NA,NA,0,599940.7497
"530","liza aurata","liza aurata","liza aurata","liza",NA,NA,NA,NA,0,598870.1652
"531","farfantepenaeus duorarum",NA,NA,NA,NA,NA,NA,NA,1,598306.2386
"532","panulirus cygnus","panulirus",NA,"panulirus",NA,NA,NA,NA,0,593129.0799
"533","thunnus","thunnus",NA,"thunnus",NA,NA,NA,NA,0,590731.592
"534","carcharhinus limbatus","carcharhinus limbatus","carcharhinus limbatus","carcharhinus",NA,NA,NA,NA,0,590098.1484
"535","isurus","isurus",NA,"isurus",NA,NA,NA,NA,0,590047.5064
"536","peristediidae","peristediidae",NA,NA,"peristediidae",NA,NA,NA,0,584167.2062
"537","brama australis","brama australis","brama australis","brama",NA,NA,NA,NA,0,584135.1303
"538","lithognathus mormyrus","lithognathus mormyrus","lithognathus mormyrus","lithognathus",NA,NA,NA,NA,0,583907.9156
"539","cynoscion nebulosus","cynoscion",NA,"cynoscion",NA,NA,NA,NA,0,577953.0263
"540","seriolella punctata","seriolella punctata","seriolella punctata","seriolella",NA,NA,NA,NA,0,575893.4475
"541","ophiodon elongatus","ophiodon elongatus","ophiodon elongatus","ophiodon",NA,NA,NA,NA,0,575448.879
"542","modiolus","modiolus",NA,"modiolus",NA,NA,NA,NA,0,574124.9902
"543","kajikia audax",NA,NA,NA,NA,NA,NA,NA,1,573297.2907
"544","anguilla anguilla","anguilla",NA,"anguilla",NA,NA,NA,NA,0,570302.4865
"545","mytilus coruscus","mytilus coruscus","mytilus coruscus","mytilus",NA,NA,NA,NA,0,569252.6694
"546","trachinotus","trachinotus",NA,"trachinotus",NA,NA,NA,NA,0,562169.9644
